COUNTRY_ID,NAME,,
1,Bangladesh,,
2,India,,
3,Pakistan,,
4,USA,,
5,Turkey,,
,,,
,,,
STATE_ID,COUNTRY_ID,NAME,
1,1,Dhaka,
2,1,Chittagong,
3,2,Delhi,
4,2,Mumbai,
5,3,Lahore,
6,3,Islamabad,
7,4,New York,
8,4,Florida ,
9,5,Istanbul,
10,5,Ankara,
,,,
,,,
CITY_ID,STATE_ID,COUNTRY_ID,NAME
1,1,1,Gulshan
2,1,1,Uttara
3,2,1,Cox's Bazar
4,2,1,Sylhet
5,3,2,Agra
6,3,2,Jaipur
7,4,2,Pune
8,4,2,Bangalore
9,5,3,Karachi
10,5,3,Faisalabad
11,6,3,Peshawar
12,6,3,Multan
13,7,4,Albany
14,7,4,Buffalo
15,8,4,Miami
16,8,4,Tampa
17,9,5,Bursa
18,9,5,Antalya
19,10,5,Izmir
20,10,5,Konya